"id","certificateid","courseid","coursename","cpath","startdate","enddate","duration","flag","certificatetype","createdate"
"110","ISS--JS--05-2024-","PROJECT POWERED JAVASCRIPT UNVEILING THE DEPTHS FROM BASICS TO MASTERY MAY2024","PROJECT POWERED JAVASCRIPT UNVEILING THE DEPTHS FROM BASICS TO MASTERY","312c5.jpg","15/05/2024","17/05/2024","3 Days","0","landscape","2024-05-17 15:26:39"
"111","ISS--SCO--05--2024-","SUMMER CAMP MAY 2024","SUMMER CAMP- OFFICE AUTOMATION TOOLS - MATHEMATICS - PERSONALITY ENRICHMENT PROGRAM","3c3b5.jpg","01/05/2024","21/05/2024","3 weeks","0","landscape","2024-05-21 12:15:57"
"112","ISS--esp-05-24--","EXCEL SKILLS MAY2024","EXCEL SKILLS FOR PROFESSIONALS: ESSENTIAL AND ADVANCED FUNCTIONS","cd1eb.jpg","22/05/2024","04/06/2024","2 weeks","0","landscape","2024-06-04 00:37:03"
"113","ISS--EDA--06-24-","EXCEL ANALYTICS - June2024","EXCEL ANALYTICS: UNLEASHING THE POWER OF DATA FOR PRACTICAL RESEARCH","b6bc1.jpg","03/06/2024","07/06/2024","5 Days","0","landscape","2024-06-07 12:20:45"
"114","ISS--PYES--06--24--","PYTHON ESSENTIALS-June2024","PYTHON ESSENTIALS: A JOURNEY FROM BASICS TO MASTERY","d3b97.jpg","10/06/2024","21/06/2024","2 weeks","0","landscape","2024-06-21 13:13:27"
"115","ISS--ADPL--06--24--","ADVANCED PYTHON PROGRAMMING - June2024","ADVANCED PYTHON PROGRAMMING WITH POWERFUL LIBRARIES","2eb9d.jpg","05/06/2024","21/06/2024","2 weeks","0","landscape","2024-06-21 15:28:50"
"116","ISS--PSD--06--24--","Python for Data Science - June2024","PYTHON FOR DATA SCIENCE JUNE 2024","00a44.jpg","22/05/2024","21/06/2024","1 Month","0","landscape","2024-06-21 15:49:55"
"117","ISS--EXM--06--24--","MASTERING EXCEL-JUNE2024","MASTERING EXCEL: ESSENTIAL AND ADVANCED FUNCTIONS FOR PROFESSIONALS","0f368.jpg","10/06/2024","26/06/2024","2 weeks","0","landscape","2024-06-26 13:41:27"
"118","ISS--AIML--06--24","AI-POWERED MACHINE LEARNING MASTERY - June2024","AI-POWERED MACHINE LEARNING MASTERY: FROM FUNDAMENTALS TO ADVANCED TECHNIQUES","44643.jpg","18/06/2024","29/06/2024","2 weeks","0","landscape","2024-06-29 11:17:30"
"119","ISS--DAR--06--24","Data Analysis with R - June2024","UNVEILING INSIGHTS: DATA ANALYSIS WITH R PROGRAMMING","ceef9.jpg","29/06/2024","01/07/2024","3 Days","0","landscape","2024-07-01 14:17:30"
"120","ISS--EDH--07-24","EXCEL EXCELLENCE-JULY2024","EXCEL EXCELLENCE: TECHNIQUES FOR DYNAMIC DATA HANDLING","56fd5.jpg","10/07/2024","12/07/2024","3 Days","0","landscape","2024-07-11 23:30:09"
"121","ISS-WC-07-24","FUNDAMENTALS OF WEB CRAFTING-JULY2024","FUNDAMENTALS OF WEB CRAFTING:CORE CONCEPTS OF BUILDING WEBSITES","38c5e.jpg","03/07/2024","16/07/2024","2 weeks","0","landscape","2024-07-16 15:24:50"
"122","ISS--ADE--07--24-","ADVANCED DATA EXPLORATION-JULY2024","ADVANCED DATA EXPLORATION: UNRAVELING INSIGHTS THROUGH COMPUTATIONAL TECHNIQUES","f983c.jpg","25/06/2024","19/07/2024","1 Month","0","landscape","2024-07-19 11:59:37"
"123","ISS--AI--07--24-","MASTERING AI- JULY2024","MASTERING AI: A DEEP DIVE INTO MACHINE LEARNING","39a9f.jpg","10/06/2024","19/07/2024","6 Weeks","0","landscape","2024-07-19 15:15:20"
"124","ISS--PE--07--24","EFFICIENCY ENGINEERING-JULY2024","EFFICIENCY ENGINEERING: LEVERAGING AI TOOLS FOR PROMPT ENGINEERING","35fd5.jpg","20/07/2024","22/07/2024","3 Days","0","landscape","2024-07-21 20:36:36"
"125","ISS--EP--07--24"," EXCEL & POWER BI - July2024","EXCEL & POWER BI: THE ULTIMATE DATA DUO","18f11.jpg","10/07/2024","23/07/2024","2 weeks","0","landscape","2024-07-22 20:57:18"
"126","ISS--ADP--07--24"," ADVANCED WEB SOLUTIONS WITH PYTHON AND DJANGO - July2024"," ADVANCED WEB SOLUTIONS WITH PYTHON AND DJANGO ","c58cc.jpg","17/07/2024","31/07/2024","2 weeks","0","landscape","2024-07-31 14:48:13"
"127","ISS--FSD--07--24","FULL STACK DEVELOPMENT - July2024","FULL STACK DEVELOPMENT USING PYTHON FRAMEWORK DJANGO ","1f459.jpg","03/07/2024","31/07/2024","1 Month","0","landscape","2024-07-31 15:08:57"
"128","ISS--EP--08-24","ENVISION PYTHON - August 2024","ENVISION PYTHON: INNOVATIVE PROGRAMMING TECHNIQUES","26abe.jpg","31/07/2024","02/08/2024","3 Days","0","landscape","2024-08-02 13:44:43"
